tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,jenis_kelamin,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,rasio_dpt_terhadap_penduduk_kelurahan,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,BASIRIH,001,2024-BANJARMASIN BARAT-BASIRIH-001-JML,JML,284,242,85.21,284,"22,764",1.25,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,002,2024-BANJARMASIN BARAT-BASIRIH-002-JML,JML,235,166,70.64,235,"22,764",1.03,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,003,2024-BANJARMASIN BARAT-BASIRIH-003-JML,JML,268,201,75.00,268,"22,764",1.18,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,004,2024-BANJARMASIN BARAT-BASIRIH-004-JML,JML,283,235,83.04,283,"22,764",1.24,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,005,2024-BANJARMASIN BARAT-BASIRIH-005-JML,JML,279,220,78.85,279,"22,764",1.23,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,006,2024-BANJARMASIN BARAT-BASIRIH-006-JML,JML,260,170,65.38,260,"22,764",1.14,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,007,2024-BANJARMASIN BARAT-BASIRIH-007-JML,JML,281,202,71.89,281,"22,764",1.23,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,008,2024-BANJARMASIN BARAT-BASIRIH-008-JML,JML,215,188,87.44,215,"22,764",0.94,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,009,2024-BANJARMASIN BARAT-BASIRIH-009-JML,JML,220,178,80.91,220,"22,764",0.97,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,010,2024-BANJARMASIN BARAT-BASIRIH-010-JML,JML,234,201,85.90,234,"22,764",1.03,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,011,2024-BANJARMASIN BARAT-BASIRIH-011-JML,JML,253,192,75.89,253,"22,764",1.11,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,012,2024-BANJARMASIN BARAT-BASIRIH-012-JML,JML,276,228,82.61,276,"22,764",1.21,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,013,2024-BANJARMASIN BARAT-BASIRIH-013-JML,JML,294,241,81.97,294,"22,764",1.29,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,014,2024-BANJARMASIN BARAT-BASIRIH-014-JML,JML,280,196,70.00,280,"22,764",1.23,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,015,2024-BANJARMASIN BARAT-BASIRIH-015-JML,JML,279,227,81.36,279,"22,764",1.23,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,016,2024-BANJARMASIN BARAT-BASIRIH-016-JML,JML,233,206,88.41,233,"22,764",1.02,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,017,2024-BANJARMASIN BARAT-BASIRIH-017-JML,JML,158,145,91.77,158,"22,764",0.69,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,018,2024-BANJARMASIN BARAT-BASIRIH-018-JML,JML,235,203,86.38,235,"22,764",1.03,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,019,2024-BANJARMASIN BARAT-BASIRIH-019-JML,JML,270,223,82.59,270,"22,764",1.19,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,020,2024-BANJARMASIN BARAT-BASIRIH-020-JML,JML,289,231,79.93,289,"22,764",1.27,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,021,2024-BANJARMASIN BARAT-BASIRIH-021-JML,JML,259,202,77.99,259,"22,764",1.14,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,022,2024-BANJARMASIN BARAT-BASIRIH-022-JML,JML,235,163,69.36,235,"22,764",1.03,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,023,2024-BANJARMASIN BARAT-BASIRIH-023-JML,JML,259,214,82.63,259,"22,764",1.14,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,025,2024-BANJARMASIN BARAT-BASIRIH-025-JML,JML,208,164,78.85,208,"22,764",0.91,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,026,2024-BANJARMASIN BARAT-BASIRIH-026-JML,JML,248,205,82.66,248,"22,764",1.09,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,027,2024-BANJARMASIN BARAT-BASIRIH-027-JML,JML,255,202,79.22,255,"22,764",1.12,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,028,2024-BANJARMASIN BARAT-BASIRIH-028-JML,JML,224,139,62.05,224,"22,764",0.98,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,029,2024-BANJARMASIN BARAT-BASIRIH-029-JML,JML,243,185,76.13,243,"22,764",1.07,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,030,2024-BANJARMASIN BARAT-BASIRIH-030-JML,JML,200,115,57.50,200,"22,764",0.88,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,032,2024-BANJARMASIN BARAT-BASIRIH-032-JML,JML,274,181,66.06,274,"22,764",1.20,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,033,2024-BANJARMASIN BARAT-BASIRIH-033-JML,JML,208,151,72.60,208,"22,764",0.91,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,034,2024-BANJARMASIN BARAT-BASIRIH-034-JML,JML,241,157,65.15,241,"22,764",1.06,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,035,2024-BANJARMASIN BARAT-BASIRIH-035-JML,JML,279,186,66.67,279,"22,764",1.23,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,036,2024-BANJARMASIN BARAT-BASIRIH-036-JML,JML,287,219,76.31,287,"22,764",1.26,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,037,2024-BANJARMASIN BARAT-BASIRIH-037-JML,JML,289,218,75.43,289,"22,764",1.27,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,038,2024-BANJARMASIN BARAT-BASIRIH-038-JML,JML,262,199,75.95,262,"22,764",1.15,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,039,2024-BANJARMASIN BARAT-BASIRIH-039-JML,JML,297,234,78.79,297,"22,764",1.30,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,040,2024-BANJARMASIN BARAT-BASIRIH-040-JML,JML,289,216,74.74,289,"22,764",1.27,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,041,2024-BANJARMASIN BARAT-BASIRIH-041-JML,JML,143,92,64.34,143,"22,764",0.63,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,042,2024-BANJARMASIN BARAT-BASIRIH-042-JML,JML,290,232,80.00,290,"22,764",1.27,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,043,2024-BANJARMASIN BARAT-BASIRIH-043-JML,JML,282,174,61.70,282,"22,764",1.24,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,044,2024-BANJARMASIN BARAT-BASIRIH-044-JML,JML,234,200,85.47,234,"22,764",1.03,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,045,2024-BANJARMASIN BARAT-BASIRIH-045-JML,JML,149,100,67.11,149,"22,764",0.65,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,046,2024-BANJARMASIN BARAT-BASIRIH-046-JML,JML,299,239,79.93,299,"22,764",1.31,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,047,2024-BANJARMASIN BARAT-BASIRIH-047-JML,JML,279,206,73.84,279,"22,764",1.23,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,048,2024-BANJARMASIN BARAT-BASIRIH-048-JML,JML,286,252,88.11,286,"22,764",1.26,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,049,2024-BANJARMASIN BARAT-BASIRIH-049-JML,JML,229,191,83.41,229,"22,764",1.01,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,050,2024-BANJARMASIN BARAT-BASIRIH-050-JML,JML,208,175,84.13,208,"22,764",0.91,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,051,2024-BANJARMASIN BARAT-BASIRIH-051-JML,JML,207,182,87.92,207,"22,764",0.91,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,052,2024-BANJARMASIN BARAT-BASIRIH-052-JML,JML,216,192,88.89,216,"22,764",0.95,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,053,2024-BANJARMASIN BARAT-BASIRIH-053-JML,JML,228,182,79.82,228,"22,764",1.00,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,054,2024-BANJARMASIN BARAT-BASIRIH-054-JML,JML,194,141,72.68,194,"22,764",0.85,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,055,2024-BANJARMASIN BARAT-BASIRIH-055-JML,JML,234,206,88.03,234,"22,764",1.03,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,056,2024-BANJARMASIN BARAT-BASIRIH-056-JML,JML,217,170,78.34,217,"22,764",0.95,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,057,2024-BANJARMASIN BARAT-BASIRIH-057-JML,JML,232,192,82.76,232,"22,764",1.02,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,058,2024-BANJARMASIN BARAT-BASIRIH-058-JML,JML,236,175,74.15,236,"22,764",1.04,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,059,2024-BANJARMASIN BARAT-BASIRIH-059-JML,JML,213,166,77.93,213,"22,764",0.94,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,060,2024-BANJARMASIN BARAT-BASIRIH-060-JML,JML,277,183,66.06,277,"22,764",1.22,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,061,2024-BANJARMASIN BARAT-BASIRIH-061-JML,JML,201,140,69.65,201,"22,764",0.88,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,062,2024-BANJARMASIN BARAT-BASIRIH-062-JML,JML,260,202,77.69,260,"22,764",1.14,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,063,2024-BANJARMASIN BARAT-BASIRIH-063-JML,JML,282,215,76.24,282,"22,764",1.24,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,064,2024-BANJARMASIN BARAT-BASIRIH-064-JML,JML,256,221,86.33,256,"22,764",1.12,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,001,2024-BANJARMASIN BARAT-BELITUNG SELATAN-001-JML,JML,237,166,70.04,237,"14,779",1.60,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,002,2024-BANJARMASIN BARAT-BELITUNG SELATAN-002-JML,JML,227,169,74.45,227,"14,779",1.54,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,003,2024-BANJARMASIN BARAT-BELITUNG SELATAN-003-JML,JML,288,236,81.94,288,"14,779",1.95,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,004,2024-BANJARMASIN BARAT-BELITUNG SELATAN-004-JML,JML,218,165,75.69,218,"14,779",1.48,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,005,2024-BANJARMASIN BARAT-BELITUNG SELATAN-005-JML,JML,205,169,82.44,205,"14,779",1.39,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,006,2024-BANJARMASIN BARAT-BELITUNG SELATAN-006-JML,JML,253,209,82.61,253,"14,779",1.71,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,007,2024-BANJARMASIN BARAT-BELITUNG SELATAN-007-JML,JML,216,162,75.00,216,"14,779",1.46,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,008,2024-BANJARMASIN BARAT-BELITUNG SELATAN-008-JML,JML,276,239,86.59,276,"14,779",1.87,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,009,2024-BANJARMASIN BARAT-BELITUNG SELATAN-009-JML,JML,261,204,78.16,261,"14,779",1.77,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,010,2024-BANJARMASIN BARAT-BELITUNG SELATAN-010-JML,JML,193,177,91.71,193,"14,779",1.31,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,011,2024-BANJARMASIN BARAT-BELITUNG SELATAN-011-JML,JML,281,234,83.27,281,"14,779",1.90,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,012,2024-BANJARMASIN BARAT-BELITUNG SELATAN-012-JML,JML,197,153,77.66,197,"14,779",1.33,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,013,2024-BANJARMASIN BARAT-BELITUNG SELATAN-013-JML,JML,248,154,62.10,248,"14,779",1.68,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,014,2024-BANJARMASIN BARAT-BELITUNG SELATAN-014-JML,JML,258,214,82.95,258,"14,779",1.75,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,015,2024-BANJARMASIN BARAT-BELITUNG SELATAN-015-JML,JML,269,220,81.78,269,"14,779",1.82,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,016,2024-BANJARMASIN BARAT-BELITUNG SELATAN-016-JML,JML,160,150,93.75,160,"14,779",1.08,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,017,2024-BANJARMASIN BARAT-BELITUNG SELATAN-017-JML,JML,260,201,77.31,260,"14,779",1.76,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,018,2024-BANJARMASIN BARAT-BELITUNG SELATAN-018-JML,JML,188,149,79.26,188,"14,779",1.27,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,019,2024-BANJARMASIN BARAT-BELITUNG SELATAN-019-JML,JML,192,147,76.56,192,"14,779",1.30,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,020,2024-BANJARMASIN BARAT-BELITUNG SELATAN-020-JML,JML,238,189,79.41,238,"14,779",1.61,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,021,2024-BANJARMASIN BARAT-BELITUNG SELATAN-021-JML,JML,179,157,87.71,179,"14,779",1.21,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,022,2024-BANJARMASIN BARAT-BELITUNG SELATAN-022-JML,JML,282,230,81.56,282,"14,779",1.91,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,023,2024-BANJARMASIN BARAT-BELITUNG SELATAN-023-JML,JML,174,145,83.33,174,"14,779",1.18,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,024,2024-BANJARMASIN BARAT-BELITUNG SELATAN-024-JML,JML,183,145,79.23,183,"14,779",1.24,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG SELATAN,025,2024-BANJARMASIN BARAT-BELITUNG SELATAN-025-JML,JML,280,219,78.21,280,"14,779",1.89,13.61,29.77,32.22
