tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,penduduk_total_kecamatan,rasio_dpt_terhadap_penduduk_kelurahan,pendapatan_per_kapita,tingkat_pengangguran,kepadatan_penduduk,ipm,jumlah_usia_17_24_kec,jumlah_usia_25_44_kec,jumlah_usia_45_plus_kec,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,BASIRIH,1,2024-BANJARMASIN BARAT-BASIRIH-001,284,242,85.21,284,22764,137895,1.25,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,2,2024-BANJARMASIN BARAT-BASIRIH-002,235,166,70.64,235,22764,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,3,2024-BANJARMASIN BARAT-BASIRIH-003,268,201,75,268,22764,137895,1.18,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,4,2024-BANJARMASIN BARAT-BASIRIH-004,283,235,83.04,283,22764,137895,1.24,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,5,2024-BANJARMASIN BARAT-BASIRIH-005,279,220,78.85,279,22764,137895,1.23,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,6,2024-BANJARMASIN BARAT-BASIRIH-006,260,170,65.38,260,22764,137895,1.14,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,7,2024-BANJARMASIN BARAT-BASIRIH-007,281,202,71.89,281,22764,137895,1.23,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,8,2024-BANJARMASIN BARAT-BASIRIH-008,215,188,87.44,215,22764,137895,0.94,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,9,2024-BANJARMASIN BARAT-BASIRIH-009,220,178,80.91,220,22764,137895,0.97,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BASIRIH,10,2024-BANJARMASIN BARAT-BASIRIH-010,234,201,85.9,234,22764,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
